8/10,CARLE,Volleyball - Men,298,1
8/11,CARLINI,Volleyball - Women,299,2
8/08,Carlo TACCHINI,Canoe Sprint - Men's Canoe Double 500m,106,2
8/04,Carlos ALCARAZ,Tennis - Men's Singles,288,2
8/08,Carlos AREVALO,Canoe Sprint - Men's Kayak Four 500m,104,3
8/04,Carlos Edriel YULO,Artistic Gymnastics - Men's Vault,10,1
8/03,Carlos Edriel YULO,Artistic Gymnastics - Men's Floor Exercise,7,1
8/10,CAROL,Volleyball - Women,299,3
7/30,Caroline CROSSLEY,Rugby Sevens - Women,204,2
8/05,Caroline MARKS,Surfing - Women,239,1
7/30,Carson FOSTER,Swimming - Men's 4 x 200m Freestyle Relay,272,2
7/28,Carson FOSTER,Swimming - Men's 400m Individual Medley,270,3
8/02,Casey KAUFHOLD,Archery - Mixed Team,5,3
8/10,Casey KRUEGER,Football - Women,161,1
8/10,Casey MURPHY,Football - Women,161,1
7/31,Caspar CORBEAU,Swimming - Men's 200m Breaststroke,266,3
7/31,Cassandre BEAUGRAND,Triathlon - Women's Individual,295,1
8/09,Castello LUKEBA,Football - Men,160,2
8/08,Caterina Marianna BANTI,Sailing - Mixed Multihull,214,1
8/03,Cathelijn PEETERS,Athletics - 4 x 400m Relay Mixed,68,1
8/03,Cathrine LAUDRUP-DUFOUR,Equestrian - Dressage Team,144,2
8/11,Cayla GEORGE,Basketball - Women,76,3
8/07,CHANG Hao,Artistic Swimming - Team,21,1
7/27,CHANG Yani,Diving - Women's Synchronised 3m Springboard,136,1
8/09,CHANG Yani,Diving - Women's 3m Springboard,134,3
8/08,CHANG Yuan,Boxing - Women's 54kg,89,1
7/30,Charity WILLIAMS,Rugby Sevens - Women,204,2
8/10,Charles DOBSON,Athletics - Men's 4 x 400m Relay,44,3
8/03,Charles ELWES,Rowing - Men's Eight,202,1
8/10,Charlie CARVELL,Athletics - Men's 4 x 400m Relay,44,3
8/08,Charlie SENIOR,Boxing - Men's 57kg,82,3
8/03,Charlie SWANSON,Swimming - Mixed 4 x 100m Medley Relay,274,1
8/04,Charlie SWANSON,Swimming - Men's 4 x 100m Medley Relay,273,2
8/07,Charlie TANFIELD,Cycling Track - Men's Team Pursuit,125,2
8/02,Charline PICON,Sailing - Women's Skiff,212,3
8/10,Charlize ANDREWS,Water Polo - Women,301,2
8/03,Charlotte FRY,Equestrian - Dressage Team,144,3
8/04,Charlotte FRY,Equestrian - Dressage Individual,145,3
8/11,Chase William DODD,Water Polo - Men,300,3
8/10,Cheick Sallah CISSE,Taekwondo - Men +80kg,283,3
8/11,Chelsea GRAY,Basketball - Women,76,1
8/10,CHEN Meng,Table Tennis - Women's Team,279,1
8/03,CHEN Meng,Table Tennis - Women's Singles,276,1
8/06,CHEN Nien Chin,Boxing - Women's 66kg,92,3
8/03,CHEN Qing Chen,Badminton - Women's Doubles,73,1
8/09,CHEN Yang,Hockey - Women,167,2
8/09,CHEN Yi,Hockey - Women,167,2
7/27,CHEN Yiwen,Diving - Women's Synchronised 3m Springboard,136,1
8/09,CHEN Yiwen,Diving - Women's 3m Springboard,134,1
8/06,CHEN Yuxi,Diving - Women's 10m Platform,135,2
7/31,CHEN Yuxi,Diving - Women's Synchronised 10m Platform,137,1
8/07,CHENG Wentao,Artistic Swimming - Team,21,1
7/27,CHENG Yujie,Swimming - Women's 4 x 100m Freestyle Relay,254,3
8/10,Chermen VALIEV,Wrestling - Men's Freestyle 74kg,326,3
7/29,CHEUNG Ka Long,Fencing - Men's Foil Individual,152,1
8/09,Chiara CONSONNI,Cycling Track - Women's Madison,133,1
8/02,Chiara LEONE,Shooting - 50m Rifle 3 Positions Women,222,1
8/10,CHINENYEZE,Volleyball - Men,298,1
7/30,Chloe DANIELS,Rugby Sevens - Women,204,2
7/27,Chloe DYGERT,Cycling Road - Women's Individual Time Trial,121,3
8/07,Chloe DYGERT,Cycling Track - Women's Team Pursuit,131,1
8/10,Chloe VALENTINI,Handball - Women,165,2
8/05,CHO Yeongjae,Shooting - 25m Rapid Fire Pistol Men,218,2
8/08,CHOE Hyo Gyong,Wrestling - Women's Freestyle 53kg,319,3
8/03,CHOI Sebin,Fencing - Women's Sabre Team,156,2
8/03,Chris CARLSON,Rowing - Men's Eight,202,3
7/27,Chris GUILIANO,Swimming - Men's 4 x 100m Freestyle Relay,271,1
7/30,Chris GUILIANO,Swimming - Men's 4 x 200m Freestyle Relay,272,2
8/09,Chrislain MATSIMA,Football - Men,160,2
7/29,Christa DEGUCHI,Judo - Women -57 kg,170,1
8/09,CHRISTENSON,Volleyball - Men,298,3
8/06,Christian KUKUK,Equestrian - Jumping Individual,147,1
8/10,Christian Sandlie SOERUM,Beach Volleyball - Men,79,3
8/03,Christian TABASH,Rowing - Men's Eight,202,3
7/27,Christie GROBBELAAR,Rugby Sevens - Men,203,3
8/11,Christoph STEINERT,Handball - Men,164,2
8/03,Christophe LAPORTE,Cycling Road - Men's Road Race,118,3
8/10,Christopher BAILEY,Athletics - Men's 4 x 400m Relay,44,1
7/29,Christopher BURTON,Equestrian - Eventing Individual,143,2
8/08,Christopher RUEHR,Hockey - Men,166,2
8/05,Cierra BURDICK,Basketball 3x3 - Women,78,3
8/08,Cindy Winner DJANKEU NGAMBA,Boxing - Women's 75kg,93,3
8/01,Claire WEINSTEIN,Swimming - Women's 4 x 200m Freestyle Relay,255,2
7/30,Clarisse AGBEGNENOU,Judo - Women -63 kg,171,3
8/03,Clarisse AGBEGNENOU,Judo - Mixed Team,182,1
8/03,Clark DEAN,Rowing - Men's Eight,202,3
8/10,Clemens WICKLER,Beach Volleyball - Men,79,2
8/04,Clement SECCHI,Swimming - Men's 4 x 100m Medley Relay,273,3
8/10,Cleopatre DARLEUX MINGAM,Handball - Women,165,2
8/10,CLEVENOT,Volleyball - Men,298,1
